"Type","Issue","Name","File","Details"
"Product","TBD Specs","8 Lane Reindeer Racing","products/8-lane-reindeer-racing.md","Players; Setup time"
"Product","TBD Specs","8 Lane Roll & Bowl Donkey Derby","products/8-lane-roll-and-bowl-donkey-derby.md","Players; Setup time"
"Product","TBD Specs","Air Hockey Table Hire","products/air-hockey-table-hire.md","Players; Setup time"
"Product","TBD Specs","Ballnado Grabber","products/ballnado-grabber.md","Setup time"
"Product","TBD Specs","Batak Lite","products/batak-lite.md","Players; Setup time"
"Product","TBD Specs","Batak Pro","products/batak-pro.md","Players; Setup time"
"Product","TBD Specs","BBQ","products/bbq.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Beat The Buzzer","products/beat-the-buzzer.md","Players; Setup time"
"Product","TBD Specs","Bespoke Photo Booth Hire","products/bespoke-photo-booth-hire.md","Players; Setup time"
"Product","TBD Specs","Branded Capsule Bin","products/branded-capsule-bin.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Bungee Run","products/bungee-run.md","Players; Setup time"
"Product","TBD Specs","Candy Cane Megawire","products/candy-cane-megawire.md","Setup time"
"Product","TBD Specs","Candy Cane Snatch it","products/candy-cane-snatch-it.md","Setup time; Equipment Size"
"Product","TBD Specs","Candy Floss Cart Hire","products/candy-floss-cart-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","CASH GRABBER MACHINE HIRE","products/cash-grabber-machine-hire.md","Players; Setup time"
"Product","TBD Specs","CASINO TABLE HIRE","products/casino-table-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Catch it Reaction Ring Hire","products/catch-it-reaction-ring-hire.md","Players; Setup time"
"Product","TBD Specs","Christmas Batak Lite","products/christmas-batak-lite.md","Players; Setup time; Equipment Size"
"Product","TBD Specs","Christmas Batak Pro","products/christmas-batak-pro.md","Players; Setup time"
"Product","TBD Specs","Christmas Corn Holes","products/christmas-corn-holes.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","CHRISTMAS GROTTO 1","products/christmas-grotto-1.md","Players; Setup time; Equipment Size"
"Product","TBD Specs","CHRISTMAS GROTTO 2","products/christmas-grotto-2.md","Players; Setup time; Equipment Size"
"Product","TBD Specs","CHRISTMAS PHOTO BOOTHS","products/christmas-photo-booths.md","Players; Setup time"
"Product","TBD Specs","Christmas Prize Crane","products/christmas-prize-crane.md","Players; Setup time"
"Product","TBD Specs","Christmas Roller Bowler","products/christmas-roller-bowler.md","Players; Setup time; Equipment Size"
"Product","TBD Specs","CLASSIC PHOTO BOOTHS","products/classic-photo-booths.md","Players; Setup time"
"Product","TBD Specs","Climbing Wall","products/climbing-wall.md","Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Coconut Shy Stall Hire","products/coconut-shy-stall-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Corn Hole","products/corn-hole.md","Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Crack The Code safe cracker","products/crack-the-code-safe-cracker.md","Players; Setup time"
"Product","TBD Specs","Crazy Golf","products/crazy-golf.md","Players; Space Required; Setup time"
"Product","TBD Specs","Dance Machine","products/dance-machine.md","Players; Setup time"
"Product","TBD Specs","Danger-zone-strike-a-light-game-hire","products/danger-zone-strike-a-light-game-hire.md","Setup time"
"Product","TBD Specs","Dash & Grab / Hungry Hippo Inflatable Game","products/dash-and-grab-hungry-hippo-inflatable-game.md","Setup time"
"Product","TBD Specs","ELECTRONIC BASKET BALL HIRE","products/electronic-basket-ball-hire.md","Setup time"
"Product","TBD Specs","Electronic Dart Board","products/electronic-dart-board.md","Setup time"
"Product","TBD Specs","Football Darts","products/football-darts.md","Players; Setup time"
"Product","TBD Specs","FOOTBALL TABLES","products/football-tables.md","Setup time"
"Product","TBD Specs","GIANT BUZZ WIRE","products/giant-buzz-wire.md","Players; Setup time"
"Product","TBD Specs","Giant Connect 4 Game Hire","products/giant-connect-4-game-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Giant Deck Chair Hire","products/giant-deck-chair-hire.md","Players; Setup time"
"Product","TBD Specs","Giant Jenga Hire","products/giant-jenga-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","GLADIATOR DUEL","products/gladiator-duel.md","Players; Setup time"
"Product","TBD Specs","Gold Bar Challenge","products/gold-bar-challenge.md","Players; Setup time"
"Product","TBD Specs","GOLD CUP HORSE RACING","products/gold-cup-horse-racing.md","Setup time"
"Product","TBD Specs","GREEN SCREEN PHOTO BOOTHS","products/green-screen-photo-booths.md","Players; Setup time"
"Product","TBD Specs","High Striker","products/high-striker.md","Players; Setup time"
"Product","TBD Specs","Hook A Duck","products/hook-a-duck.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","HUMAN TABLE FOOTBALL","products/human-table-football.md","Setup time"
"Product","TBD Specs","Ice Cream van Hire","products/ice-cream-van-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","INFLATABLE ASSAULT COURSES","products/inflatable-assault-courses.md","Setup time"
"Product","TBD Specs","LARGE BOUNCY CASTLES","products/large-bouncy-castles.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","LEADER BOARD","products/leader-board.md","Players; Setup time"
"Product","TBD Specs","MAGIC MIRROR","products/magic-mirror.md","Players; Setup time"
"Product","TBD Specs","Master Sniper","products/master-sniper.md","Setup time; Equipment Size"
"Product","TBD Specs","Mega Wire - Branded Game Hire (stand alone)","products/mega-wire-branded-game-hire-stand-alone.md","Players; Setup time"
"Product","TBD Specs","PAELLA","products/paella.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Pig Roast","products/pig-roast.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Pix N Mix Hire","products/pix-n-mix-hire.md","Players; Setup time"
"Product","TBD Specs","Pizza","products/pizza.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Play Your Cards Right Stall Hire","products/play-your-cards-right-stall-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Plinko Game Hire","products/plinko-game-hire.md","Players; Setup time"
"Product","TBD Specs","PLUCK A DUCK RACING","products/pluck-a-duck-racing.md","Players; Setup time"
"Product","TBD Specs","Popcorn Machine Cart Hire","products/popcorn-machine-cart-hire.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Prize Crane Arcade Grabber","products/prize-crane-arcade-grabber.md","Players; Setup time"
"Product","TBD Specs","Prize Wheel","products/prize-wheel.md","Players; Setup time"
"Product","TBD Specs","Racing Car Simulators","products/racing-car-simulators.md","Players; Setup time"
"Product","TBD Specs","RED CARPET & 4 GOLD STANCHIONS","products/red-carpet-and-4-gold-stanchions.md","Players; Space Required; Power; Setup time; Equipment Size; Suitability; Access"
"Product","TBD Specs","Reindeer Nosenado (Christmas Ballnado Hire )","products/reindeer-nosenado-christmas-ballnado-hire.md","Players; Power; Setup time; Equipment Size"
"Product","TBD Specs","RETRO ARCADE GAMES","products/retro-arcade-games.md","Setup time"
"Product","TBD Specs","Rodeo Bull","products/rodeo-bull.md","Players; Setup time"
"Product","TBD Specs","Roll & Bowl Donkey Derby","products/roll-and-bowl-donkey-derby.md","Players; Setup time"
"Product","TBD Specs","Roll And Bowl Game Hire","products/roll-and-bowl-game-hire.md","Setup time"
"Product","TBD Specs","Roll And Bowl Reindeer Racing Game Hire","products/roll-and-bowl-reindeer-racing-game-hire.md","Setup time; Equipment Size"
"Product","TBD Specs","Roller Bowler","products/roller-bowler.md","Players; Setup time; Equipment Size"
"Product","TBD Specs","Scalextric Slot Car Racing","products/scalextric-slot-car-racing.md","Players; Setup time"
"Product","TBD Specs","Shuffleboard Hire","products/shuffleboard-hire.md","Setup time"
"Product","TBD Specs","Snatch It","products/snatch-it.md","Setup time"
"Product","TBD Specs","Strike A Snow Flake","products/strike-a-snow-flake.md","Setup time; Equipment Size"
"Product","TBD Specs","SUPER SLIDES","products/super-slides.md","Players; Setup time"
"Product","TBD Specs","Table Tennis Hire","products/table-tennis-hire.md","Players; Setup time"
